ID,Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy
CL00006037,Oct,4,Wednesday,Toyota,Urban,Monday,Oct,5,Male,Single,27,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,6101,5,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
CL00014781,Jun,3,Thursday,Toyota,Urban,Friday,Jun,3,Female,Single,30,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,1551,9,400,1,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
CL00007000,Jun,1,Thursday,Toyota,Urban,Friday,Jan,3,Male,Married,39,Third Party,Sedan - Liability,Sport,20000 to 29000,0,13578,13,400,4,more than 30,more than 30,more than 4,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Liability
CL00000649,May,4,Monday,Chevrolet,Urban,Monday,May,4,Male,Married,50,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,15039,1,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1996,Liability
CL00002564,Sep,2,Tuesday,Chevrolet,Urban,Wednesday,Sep,4,Male,Single,32,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,11033,10,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils
CL00013151,Nov,1,Sunday,Accura,Urban,Monday,Nov,1,Male,Married,38,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,9203,14,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Liability
CL00012051,Nov,1,Friday,Toyota,Urban,Wednesday,Dec,3,Male,Married,39,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,4602,6,400,2,more than 30,more than 30,none,7 years,36 to 40,Yes,No,External,1 to 2,no change,1 vehicle,1994,Collision
CL00001613,Sep,4,Sunday,Mazda,Urban,Wednesday,Sep,5,Male,Single,30,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,8908,9,400,1,more than 30,more than 30,1,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,Collision
CL00010215,Nov,4,Friday,Chevrolet,Urban,Tuesday,Nov,5,Male,Married,46,Policy Holder,Sedan - All Perils,Sedan,40000 to 59000,0,9405,9,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,All Perils
CL00012058,Jul,3,Friday,Toyota,Rural,Friday,Jul,3,Male,Married,61,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,14702,16,400,1,more than 30,more than 30,2 to 4,7 years,51 to 65,No,No,External,more than 5,no change,1 vehicle,1996,Liability
CL00002970,Jul,4,Tuesday,Pontiac,Urban,Wednesday,Aug,1,Male,Married,61,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,10558,9,500,2,more than 30,more than 30,none,7 years,51 to 65,No,No,External,none,2 to 3 years,1 vehicle,1995,All Perils
CL00004155,Aug,3,Thursday,Nisson,Urban,Friday,Aug,3,Male,Married,41,Third Party,Sedan - All Perils,Sedan,more than 69000,0,7815,11,400,4,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,All Perils
CL00015104,Aug,2,Thursday,Toyota,Urban,Friday,Aug,2,Male,Single,24,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,7590,10,400,3,more than 30,more than 30,1,5 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,1995,Collision
CL00000602,Oct,4,Tuesday,Accura,Urban,Thursday,Oct,4,Male,Married,68,Policy Holder,Utility - All Perils,Utility,more than 69000,1,7495,7,400,2,more than 30,more than 30,none,more than 7,over 65,No,No,External,none,no change,1 vehicle,1995,All Perils
CL00010168,Mar,4,Friday,Honda,Urban,Tuesday,Apr,1,Male,Married,27,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,617,15,400,1,more than 30,more than 30,2 to 4,4 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
CL00003216,Jul,2,Wednesday,Pontiac,Urban,Monday,Aug,2,Male,Single,34,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,8324,7,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,3 to 4,1995,All Perils
